YEAR,MONTH,Datetime,Rainfall,Precipitation_Anomaly,SPAI
1901,Jan,01-01-1901,5.082,1.7978714285714283,0.42923435317211345
1901,Feb,01-02-1901,0.769,-2.365014285714285,-0.3839686614291767
1901,Mar,01-03-1901,0.182,-5.124571428571428,-0.5347724915634896
1901,Apr,01-04-1901,0.291,-3.390514285714286,-0.509145830501666
1901,May,01-05-1901,3.47,-4.400114285714288,-0.487458144020511
1901,Jun,01-06-1901,18.436,-30.425242857142862,-0.6801242567024308
1901,Jul,01-07-1901,185.767,4.8060285714285556,0.05144970028466738
1901,Aug,01-08-1901,108.43,-53.58582857142855,-0.5444294825565292
1901,Sep,01-09-1901,6.478,-89.73734285714286,-1.1773469530075606
1901,Oct,01-10-1901,8.023,0.10240000000000116,0.008728069517159603
1901,Nov,01-11-1901,0.039,-8.688314285714284,-0.5338813412207617
1901,Dec,01-12-1901,6.618,3.9644571428571433,0.8727911576886028
1902,Jan,01-01-1902,0.991,-2.2931285714285714,-0.5474749436781153
1902,Feb,01-02-1902,0.0,-3.134014285714285,-0.5088186052213167
1902,Mar,01-03-1902,0.004,-5.3025714285714285,-0.5533476065414142
1902,Apr,01-04-1902,0.04,-3.641514285714286,-0.5468379304861365
1902,May,01-05-1902,0.231,-7.639114285714288,-0.8462844894198851
1902,Jun,01-06-1902,69.584,20.72275714285714,0.46323540833469057
1902,Jul,01-07-1902,89.631,-91.32997142857144,-0.9777094720039317
1902,Aug,01-08-1902,99.575,-62.440828571428554,-0.6343958635300342
1902,Sep,01-09-1902,66.101,-30.11434285714286,-0.39509783414386024
1902,Oct,01-10-1902,2.721,-5.1995999999999984,-0.4431881861467032
1902,Nov,01-11-1902,7.319,-1.408314285714284,-0.08653838880503716
1902,Dec,01-12-1902,0.558,-2.095542857142857,-0.46134217381239634
1903,Jan,01-01-1903,0.337,-2.9471285714285713,-0.7036147334947979
1903,Feb,01-02-1903,0.089,-3.0450142857142852,-0.4943691318825645
1903,Mar,01-03-1903,1.305,-4.001571428571428,-0.417582299876921
