YEAR,MONTH,Datetime,Rainfall,SPI
1901,Jan,01-01-1901,5.082,0.42923435317211345
1901,Feb,01-02-1901,0.769,-0.3839686614291767
1901,Mar,01-03-1901,0.182,-0.5347724915634895
1901,Apr,01-04-1901,0.291,-0.509145830501666
1901,May,01-05-1901,3.47,-0.487458144020511
1901,Jun,01-06-1901,18.436,-0.6801242567024306
1901,Jul,01-07-1901,185.767,0.05144970028466738
1901,Aug,01-08-1901,108.43,-0.5444294825565295
1901,Sep,01-09-1901,6.478,-1.1773469530075606
1901,Oct,01-10-1901,8.023,0.008728069517159324
1901,Nov,01-11-1901,0.039,-0.5338813412207617
1901,Dec,01-12-1901,6.618,0.8727911576886028
1902,Jan,01-01-1902,0.991,-0.5474749436781153
1902,Feb,01-02-1902,0.0,-0.5088186052213167
1902,Mar,01-03-1902,0.004,-0.5533476065414142
1902,Apr,01-04-1902,0.04,-0.5468379304861366
1902,May,01-05-1902,0.231,-0.8462844894198851
1902,Jun,01-06-1902,69.584,0.46323540833469096
1902,Jul,01-07-1902,89.631,-0.9777094720039321
1902,Aug,01-08-1902,99.575,-0.6343958635300344
1902,Sep,01-09-1902,66.101,-0.39509783414386024
1902,Oct,01-10-1902,2.721,-0.4431881861467033
1902,Nov,01-11-1902,7.319,-0.08653838880503716
1902,Dec,01-12-1902,0.558,-0.46134217381239634
1903,Jan,01-01-1903,0.337,-0.7036147334947981
1903,Feb,01-02-1903,0.089,-0.4943691318825645
1903,Mar,01-03-1903,1.305,-0.417582299876921
1903,Apr,01-04-1903,0.0,-0.5528446396470086
1903,May,01-05-1903,11.937,0.45054206175179545
1903,Jun,01-06-1903,3.44,-1.0153440411885626
1903,Jul,01-07-1903,287.291,1.1382887180036043
1903,Aug,01-08-1903,185.468,0.23827295193662354
1903,Sep,01-09-1903,147.905,0.6781642781203021
1903,Oct,01-10-1903,2.383,-0.47199763435763975
1903,Nov,01-11-1903,0.039,-0.5338813412207617
1903,Dec,01-12-1903,0.0,-0.5841881142377359
1904,Jan,01-01-1904,0.429,-0.6816501147438276
1904,Feb,01-02-1904,2.02,-0.18086426652154694
1904,Mar,01-03-1904,26.237,2.1841860519748413
1904,Apr,01-04-1904,0.0,-0.5528446396470086
1904,May,01-05-1904,14.769,0.7642796999645246
1904,Jun,01-06-1904,51.707,0.06361390344948264
1904,Jul,01-07-1904,117.672,-0.677523773096711
1904,Aug,01-08-1904,79.146,-0.8419535368115398
1904,Sep,01-09-1904,68.75,-0.36034316034566233
1904,Oct,01-10-1904,11.705,0.32256353789783526
1904,Nov,01-11-1904,5.116,-0.2219087904769933
1904,Dec,01-12-1904,11.12,1.863924533665087
1905,Jan,01-01-1905,4.074,0.18857853033539135
1905,Feb,01-02-1905,6.229,0.5024821748583197
1905,Mar,01-03-1905,2.075,-0.33722927441061823
1905,Apr,01-04-1905,8.199,0.678380570602685
1905,May,01-05-1905,2.768,-0.5652278551876492
1905,Jun,01-06-1905,20.722,-0.6290231345808451
1905,Jul,01-07-1905,99.946,-0.8672848978365347
1905,Aug,01-08-1905,9.432,-1.5502444778829034
1905,Sep,01-09-1905,62.886,-0.43727838388383955
1905,Oct,01-10-1905,0.0,-0.6751127677501304
1905,Nov,01-11-1905,0.039,-0.5338813412207617
1905,Dec,01-12-1905,0.19,-0.5423588513688925
1906,Jan,01-01-1906,0.0,-0.7840720869630278
1906,Feb,01-02-1906,43.472,6.549018807038652
1906,Mar,01-03-1906,3.039,-0.23663146070994842
